Latitude,Longitude,Elevation
-41.6517700,145.9606000,942.0
-41.6516800,145.9606600,941.0
-41.6515400,145.9608700,939.0
-41.6514700,145.9611100,939.0
-41.6512900,145.9614200,939.0
-41.6512500,145.9614900,939.0
-41.6512000,145.9616400,939.0
-41.6511400,145.9617100,939.0
-41.6510500,145.9619400,939.0
-41.6509900,145.9620600,939.0
-41.6509200,145.9622600,939.0
-41.6508100,145.9619900,939.0
-41.6507100,145.9618700,940.0
-41.6505600,145.9617300,940.0
-41.6505100,145.9616600,941.0
-41.6504300,145.9615300,942.0
