Latitude,Longitude,Elevation
-41.6412900,145.9448800,885.0
-41.6413300,145.9448900,885.0
-41.6413500,145.9449200,885.0
-41.6413800,145.9449500,885.0
-41.6414200,145.9449800,885.0
-41.6414500,145.9450200,884.0
-41.6414900,145.9450400,884.0
-41.6415500,145.9450500,884.0
-41.6415800,145.9450300,884.0
-41.6416200,145.9450200,884.0
-41.6416500,145.9449900,884.0
-41.6416800,145.9449600,884.0
-41.6417100,145.9449300,884.0
-41.6417400,145.9449100,884.0
-41.6417700,145.9448800,884.0
-41.6418000,145.9448500,884.0
-41.6418300,145.9448300,884.0
-41.6418700,145.9448000,884.0
-41.6419100,145.9447900,884.0
-41.6419400,145.9447700,884.0
-41.6419800,145.9447500,885.0
-41.6420200,145.9447300,885.0
-41.6420500,145.9447000,885.0
-41.6420800,145.9446800,885.0
-41.6421100,145.9446600,886.0
-41.6421400,145.9446400,886.0
-41.6421700,145.9446300,886.0
-41.6422100,145.9446200,886.0
-41.6422500,145.9446100,887.0
-41.6422900,145.9445900,887.0
-41.6423200,145.9445700,887.0
-41.6423600,145.9445500,887.0
-41.6423800,145.9445400,887.0
-41.6424200,145.9445400,887.0
-41.6424500,145.9445600,887.0
-41.6424900,145.9445800,887.0
-41.6425200,145.9446000,887.0
-41.6425500,145.9446200,887.0
-41.6425700,145.9446500,887.0
-41.6426000,145.9446700,888.0
-41.6426300,145.9447000,888.0
-41.6426500,145.9447300,888.0
-41.6426900,145.9447300,889.0
-41.6427200,145.9447400,889.0
-41.6427500,145.9447400,889.0
-41.6427800,145.9447500,889.0
-41.6428200,145.9447600,890.0
-41.6428500,145.9447700,891.0
-41.6428900,145.9447700,892.0
-41.6429100,145.9447600,892.0
-41.6429500,145.9447600,893.0
-41.6429900,145.9447700,894.0
-41.6430200,145.9447800,894.0
-41.6431200,145.9447900,896.0
-41.6431500,145.9447900,897.0
-41.6431900,145.9448000,898.0
-41.6432200,145.9448100,898.0
-41.6432500,145.9448300,899.0
-41.6432900,145.9448500,900.0
-41.6433200,145.9448700,900.0
-41.6433500,145.9448900,901.0
-41.6433800,145.9449100,901.0
-41.6434200,145.9449300,901.0
-41.6434500,145.9449400,901.0
-41.6434800,145.9449400,902.0
-41.6435100,145.9449500,902.0
-41.6435400,145.9449400,902.0
-41.6435600,145.9449400,902.0
-41.6435900,145.9449200,903.0
-41.6436300,145.9449200,904.0
-41.6436600,145.9449200,904.0
-41.6436900,145.9449200,905.0
-41.6437300,145.9449300,905.0
-41.6437600,145.9449300,906.0
-41.6437900,145.9449300,906.0
-41.6438200,145.9449300,906.0
-41.6438500,145.9449300,907.0
-41.6438800,145.9449300,907.0
-41.6439200,145.9449300,908.0
-41.6439500,145.9449300,909.0
-41.6439800,145.9449400,909.0
-41.6440100,145.9449400,910.0
-41.6440400,145.9449600,911.0
-41.6440700,145.9449800,911.0
-41.6441000,145.9449900,912.0
-41.6441300,145.9449900,913.0
-41.6441600,145.9450000,913.0
-41.6441900,145.9450200,914.0
-41.6442200,145.9450300,914.0
-41.6442500,145.9450500,914.0
-41.6442800,145.9450600,915.0
-41.6443100,145.9450700,915.0
-41.6443400,145.9450700,915.0
-41.6443700,145.9450600,916.0
-41.6444000,145.9450600,916.0
-41.6444400,145.9450600,916.0
-41.6444700,145.9450500,917.0
