Latitude,Longitude,Elevation
-41.6494000,145.9627700,935.0
-41.6494000,145.9621100,938.0
-41.6494000,145.9614600,946.0
-41.6494000,145.9607900,952.0
-41.6494000,145.9601300,958.0
-41.6494000,145.9594700,969.0
-41.6494000,145.9588000,978.0
-41.6494000,145.9580700,970.0
-41.6494000,145.9573300,945.0
-41.6494000,145.9566000,929.0
-41.6494000,145.9559900,926.0
-41.6494000,145.9553800,930.0
-41.6494000,145.9547700,941.0
-41.6494000,145.9541600,953.0
-41.6498500,145.9541400,944.0
-41.6503000,145.9541300,932.0
-41.6507600,145.9541100,927.0
-41.6512100,145.9541000,927.0
-41.6516600,145.9540800,924.0
-41.6521100,145.9540700,927.0
-41.6525700,145.9540500,929.0
-41.6530200,145.9540400,929.0
-41.6534700,145.9540200,929.0
-41.6539500,145.9540100,932.0
-41.6544200,145.9539900,938.0
-41.6548900,145.9539800,945.0
-41.6553700,145.9539600,960.0
-41.6559200,145.9539400,990.0
-41.6564700,145.9539300,1019.0
-41.6570200,145.9539100,1045.0
-41.6575200,145.9538900,1064.0
-41.6580200,145.9538800,1072.0
-41.6585100,145.9538600,1075.0
-41.6590100,145.9538400,1086.0
-41.6595300,145.9538200,1104.0
-41.6600400,145.9538000,1133.0
-41.6605600,145.9537900,1155.0
-41.6610800,145.9537700,1144.0
-41.6616000,145.9537500,1128.0
-41.6621200,145.9537300,1116.0
-41.6626400,145.9537100,1113.0
-41.6631600,145.9536900,1115.0
-41.6637200,145.9536700,1119.0
-41.6642900,145.9536600,1119.0
-41.6648500,145.9536400,1135.0
-41.6654100,145.9536200,1125.0
-41.6658800,145.9536000,1106.0
-41.6663400,145.9535900,1094.0
-41.6668100,145.9535700,1096.0
-41.6672700,145.9535600,1101.0
-41.6677400,145.9535400,1115.0
-41.6682800,145.9535200,1146.0
-41.6688300,145.9535100,1176.0
-41.6693700,145.9534900,1185.0
-41.6699100,145.9534700,1170.0
-41.6699500,145.9540800,1146.0
-41.6700000,145.9546800,1119.0
-41.6700400,145.9552900,1068.0
-41.6701100,145.9561700,1000.0
-41.6701700,145.9570500,960.0
-41.6702200,145.9576700,948.0
-41.6702600,145.9582900,949.0
-41.6703100,145.9589200,956.0
-41.6703500,145.9595400,969.0
-41.6704000,145.9601600,969.0
-41.6704500,145.9609000,968.0
-41.6705100,145.9616400,969.0
-41.6705600,145.9623800,971.0
-41.6706100,145.9630700,981.0
-41.6706700,145.9637700,1006.0
-41.6707200,145.9644600,1034.0
-41.6707700,145.9651300,1067.0
-41.6708200,145.9658000,1097.0
-41.6708600,145.9664600,1110.0
-41.6709100,145.9671300,1117.0
-41.6709600,145.9678500,1122.0
