Latitude,Longitude,Elevation
-41.6543600,145.9592400,940.0
-41.6543600,145.9592500,940.0
-41.6543100,145.9592600,940.0
-41.6542900,145.9592700,940.0
-41.6542700,145.9592900,940.0
-41.6542300,145.9593200,940.0
-41.6542300,145.9593300,940.0
-41.6541800,145.9593500,940.0
-41.6541700,145.9593600,940.0
-41.6541400,145.9593800,940.0
-41.6541200,145.9594000,940.0
-41.6540700,145.9594500,939.0
-41.6540300,145.9595000,939.0
-41.6539700,145.9595400,939.0
-41.6539100,145.9595800,939.0
-41.6538400,145.9596300,940.0
-41.6537700,145.9596700,940.0
-41.6537300,145.9596400,940.0
-41.6536700,145.9596000,940.0
-41.6536200,145.9595700,940.0
-41.6535500,145.9595400,940.0
-41.6535300,145.9595300,941.0
-41.6534900,145.9595300,941.0
-41.6534800,145.9595300,941.0
-41.6534400,145.9595500,941.0
-41.6534400,145.9595600,941.0
-41.6534200,145.9596100,941.0
-41.6534100,145.9596100,941.0
-41.6534000,145.9596700,941.0
-41.6534100,145.9597300,941.0
-41.6534100,145.9597400,941.0
-41.6534200,145.9597900,941.0
-41.6534200,145.9598000,941.0
-41.6534100,145.9598400,942.0
-41.6534000,145.9598500,942.0
-41.6533600,145.9598700,943.0
-41.6533200,145.9599000,943.0
-41.6533100,145.9599000,944.0
-41.6532800,145.9599300,944.0
-41.6532700,145.9599300,944.0
-41.6532400,145.9599600,944.0
-41.6532200,145.9599800,944.0
-41.6531900,145.9600200,944.0
-41.6531500,145.9600800,943.0
-41.6531400,145.9601000,942.0
-41.6531200,145.9601300,942.0
-41.6531100,145.9601600,941.0
-41.6531000,145.9601800,941.0
-41.6530800,145.9602100,940.0
-41.6530700,145.9602300,939.0
-41.6530600,145.9602600,939.0
-41.6530500,145.9602800,939.0
-41.6530400,145.9603200,939.0
-41.6530300,145.9603200,939.0
-41.6530200,145.9603700,939.0
-41.6529900,145.9604300,939.0
-41.6529700,145.9604900,939.0
-41.6529400,145.9605400,939.0
-41.6529400,145.9605500,939.0
-41.6529400,145.9606000,939.0
-41.6529400,145.9606100,939.0
-41.6529400,145.9606800,939.0
-41.6529200,145.9607200,939.0
-41.6528700,145.9607100,939.0
-41.6528400,145.9606700,939.0
-41.6528200,145.9606200,939.0
-41.6528200,145.9606100,939.0
-41.6528100,145.9605700,939.0
-41.6528000,145.9605500,939.0
-41.6527700,145.9605300,939.0
-41.6527600,145.9605200,939.0
-41.6527300,145.9605000,940.0
-41.6527200,145.9604900,940.0
-41.6526900,145.9604900,940.0
-41.6526700,145.9604900,940.0
-41.6526600,145.9604500,941.0
-41.6526500,145.9604300,941.0
-41.6526300,145.9604100,942.0
-41.6526200,145.9603900,942.0
-41.6526000,145.9603800,942.0
-41.6525700,145.9603600,943.0
-41.6525600,145.9603600,943.0
-41.6525300,145.9603500,943.0
